Accession	Mol. weight [kDa]
tr|A0A0G2JWR2|A0A0G2JWR2_RAT	50.373999999999995
tr|D4AAL4|D4AAL4_RAT	172.45
sp|Q9Z1T4|CNKR2_RAT	117.39
sp|Q9Z1W6|LYRIC_RAT	63.968
tr|F1LQ45|F1LQ45_RAT	62.315
tr|A0A0G2K527|A0A0G2K527_RAT	83.366
sp|Q9Z2L0|VDAC1_RAT	30.755
tr|G3V7P8|G3V7P8_RAT	38.459
tr|A0A0G2K0X9|A0A0G2K0X9_RAT	131.97
sp|Q9Z2X5|HOME3_RAT	39.891
sp|Q9Z327|SYNPO_RAT	99.985
tr|A0A0G2K9M8|A0A0G2K9M8_RAT	149.59
tr|A0A096MJ96|A0A096MJ96_RAT	15.968
tr|D4A560|D4A560_RAT	16.358
tr|A0A096MJH0|A0A096MJH0_RAT	10.154
tr|A0A096MJN4|A0A096MJN4_RAT	53.083
tr|F1LVK0|F1LVK0_RAT	502.35
tr|Q5FVT1|Q5FVT1_RAT	75.035
tr|A0A096MKB4|A0A096MKB4_RAT	263.81
tr|B2RYE6|B2RYE6_RAT	20.739
tr|D3ZA69|D3ZA69_RAT	56.312
tr|M0R4R4|M0R4R4_RAT	47.788000000000004
tr|A0A0G2JTB5|A0A0G2JTB5_RAT	68.52600000000001
tr|A0A0G2JTD7|A0A0G2JTD7_RAT	161.0
tr|D3ZAU7|D3ZAU7_RAT	141.6
tr|A0A0G2JTL7|A0A0G2JTL7_RAT	111.28
tr|A0A0G2JTR4|A0A0G2JTR4_RAT	95.63799999999999
tr|A0A0G2JTS9|A0A0G2JTS9_RAT	77.797
tr|A0A0G2JTT6|A0A0G2JTT6_RAT	531.54
tr|F1LS67|F1LS67_RAT	48.233999999999995
tr|A0A0G2JUG7|A0A0G2JUG7_RAT	108.08
tr|A0A0G2JUK2|A0A0G2JUK2_RAT	50.605
tr|D3ZHG8|D3ZHG8_RAT	71.714
tr|A0A0G2JV49|A0A0G2JV49_RAT	96.963
tr|A0A0G2JVM6|A0A0G2JVM6_RAT	69.649
tr|A0A0G2JVV5|A0A0G2JVV5_RAT	52.293
tr|A0A0G2JVW5|A0A0G2JVW5_RAT	447.65
tr|Q5FVI0|Q5FVI0_RAT	9.6495
tr|A0A0G2JW01|A0A0G2JW01_RAT	48.638999999999996
tr|A0A0G2JW92|A0A0G2JW92_RAT	82.27
tr|Q6DGF2|Q6DGF2_RAT	52.138999999999996
tr|B5DF63|B5DF63_RAT	86.02
tr|Q9QX19|Q9QX19_RAT	185.92
tr|G3V6A8|G3V6A8_RAT	364.25
tr|A0A0G2JWK6|A0A0G2JWK6_RAT	53.714
tr|A0A0G2JWM2|A0A0G2JWM2_RAT	43.163000000000004
tr|A0A0G2JX43|A0A0G2JX43_RAT	72.762
tr|B1WBT4|B1WBT4_RAT	76.947
tr|D3ZMW5|D3ZMW5_RAT	118.21
tr|F1LUY5|F1LUY5_RAT	64.557
tr|A0A0G2JXK1|A0A0G2JXK1_RAT	267.85
tr|A0A0G2JXM0|A0A0G2JXM0_RAT	85.65299999999999
tr|B5DF26|B5DF26_RAT	16.256
tr|A0A0G2JXR9|A0A0G2JXR9_RAT	119.33
tr|A0A0G2JY03|A0A0G2JY03_RAT	28.253
tr|D3ZFD0|D3ZFD0_RAT	232.66
tr|D4A0I5|D4A0I5_RAT	99.325
tr|D4A554|D4A554_RAT	175.43
tr|A0A0G2JYB9|A0A0G2JYB9_RAT	84.67
tr|A0A0G2JYC6|A0A0G2JYC6_RAT	112.51
tr|A0A0G2JYF7|A0A0G2JYF7_RAT	89.31700000000001
tr|A0A0G2JZ27|A0A0G2JZ27_RAT	126.84
tr|A0A0G2JZ56|A0A0G2JZ56_RAT	202.65
tr|A0A0G2JZ88|A0A0G2JZ88_RAT	192.41
tr|A0A0G2JZB4|A0A0G2JZB4_RAT	50.887
tr|A0A0G2JZB6|A0A0G2JZB6_RAT	15.797
tr|A0A0G2JZF5|A0A0G2JZF5_RAT	49.18899999999999
tr|A0A0G2JZH9|A0A0G2JZH9_RAT	145.02
tr|A0A0G2JZR0|A0A0G2JZR0_RAT	73.366
tr|A0A0G2JZX5|A0A0G2JZX5_RAT	105.19
tr|A0A0G2JZY6|A0A0G2JZY6_RAT	267.9
tr|G3V924|G3V924_RAT	45.56
tr|D3ZMI4|D3ZMI4_RAT	171.04
tr|A0A0G2K0J4|A0A0G2K0J4_RAT	315.23
tr|A0A0G2K0M8|A0A0G2K0M8_RAT	108.55
tr|D3ZWA5|D3ZWA5_RAT	84.26100000000001
tr|D3ZPI4|D3ZPI4_RAT	45.115
tr|A0A0G2K174|A0A0G2K174_RAT	156.76
tr|A0A0G2K1B4|A0A0G2K1B4_RAT	49.056000000000004
tr|A0A0G2K1J5|A0A0G2K1J5_RAT	499.23
tr|A0A0G2K4S1|A0A0G2K4S1_RAT	57.748999999999995
tr|A0A0G2K1L5|A0A0G2K1L5_RAT	27.789
tr|A0A0G2K1Q7|A0A0G2K1Q7_RAT	214.21
tr|A0A0G2K1Q9|A0A0G2K1Q9_RAT	102.69
tr|M0R686|M0R686_RAT	49.636
tr|A0A0G2K4A0|A0A0G2K4A0_RAT	68.76100000000001
tr|D3ZC84|D3ZC84_RAT	289.44
tr|D3ZQL7|D3ZQL7_RAT	23.546
tr|A0A0G2K2G7|A0A0G2K2G7_RAT	119.06
tr|A0A0G2K2M9|A0A0G2K2M9_RAT	295.11
tr|A0A0G2K2R0|A0A0G2K2R0_RAT	86.399
tr|A0A0G2K2V4|A0A0G2K2V4_RAT	71.003
tr|D3ZET9|D3ZET9_RAT	125.75
tr|A0A0G2K3N1|A0A0G2K3N1_RAT	205.33
tr|A0A0G2K3Q5|A0A0G2K3Q5_RAT	144.27
tr|A0A0G2K414|A0A0G2K414_RAT	62.553000000000004
tr|D3ZZQ0|D3ZZQ0_RAT	154.27
tr|G3V9G7|G3V9G7_RAT	108.81
tr|B2RYB3|B2RYB3_RAT	102.43
tr|A0A0G2K4R1|A0A0G2K4R1_RAT	84.765
tr|A0A0G2K508|A0A0G2K508_RAT	20.389
tr|D4A5B3|D4A5B3_RAT	113.68
tr|X4YHC6|X4YHC6_RAT	111.46
tr|A0A0G2K5C7|A0A0G2K5C7_RAT	115.31
tr|A0A0G2K5Q0|A0A0G2K5Q0_RAT	74.531
tr|E9PTW1|E9PTW1_RAT	38.497
tr|Q80Z26|Q80Z26_RAT	59.113
tr|A0A0G2K5V4|A0A0G2K5V4_RAT	342.12
tr|E9PSJ4|E9PSJ4_RAT	146.0
tr|F1M9Y7|F1M9Y7_RAT	56.066
tr|Q5XHX3|Q5XHX3_RAT	58.827
tr|F1M241|F1M241_RAT	111.95
tr|A0A0G2K6R9|A0A0G2K6R9_RAT	429.9
tr|A0A0G2K6T0|A0A0G2K6T0_RAT	122.01
tr|A0A0G2K6T9|A0A0G2K6T9_RAT	128.73
tr|F1M9Q1|F1M9Q1_RAT	90.881
tr|Q6TUE6|Q6TUE6_RAT	142.76
tr|A0A0G2K808|A0A0G2K808_RAT	94.322
tr|G3V9U1|G3V9U1_RAT	73.757
tr|F1MAB9|F1MAB9_RAT	24.269000000000002
tr|A0A0G2K8F9|A0A0G2K8F9_RAT	106.15
tr|Q499Q2|Q499Q2_RAT	18.348
tr|A0A0G2K904|A0A0G2K904_RAT	117.17
tr|D3ZBB7|D3ZBB7_RAT	161.92
tr|A0A0G2K988|A0A0G2K988_RAT	128.1
tr|A0A0G2K9A9|A0A0G2K9A9_RAT	94.029
tr|A0A0G2K9F7|A0A0G2K9F7_RAT	130.09
tr|A0A0G2K9J0|A0A0G2K9J0_RAT	229.01
tr|A0A0G2K9L2|A0A0G2K9L2_RAT	57.946000000000005
tr|D3ZA89|D3ZA89_RAT	96.81200000000001
tr|D3Z899|D3Z899_RAT	61.391999999999996
tr|A0A0G2KAJ5|A0A0G2KAJ5_RAT	46.876999999999995
tr|A0A0G2KAL9|A0A0G2KAL9_RAT	32.801
tr|A0A0G2KAS8|A0A0G2KAS8_RAT	201.53
tr|Q5BJN1|Q5BJN1_RAT	32.904
tr|A0A0G2QC02|A0A0G2QC02_RAT	137.3
tr|A0A0G2QC22|A0A0G2QC22_RAT	22.087
tr|A0A0G2QC33|A0A0G2QC33_RAT	44.363
tr|A0A0G2QC38|A0A0G2QC38_RAT	56.66
tr|A0A0H2UHB7|A0A0H2UHB7_RAT	123.55
tr|A0A0H2UHL9|A0A0H2UHL9_RAT	77.343
tr|E9PTN4|E9PTN4_RAT	73.763
tr|F1MAQ5|F1MAQ5_RAT	198.46
tr|A0A0U1RRY0|A0A0U1RRY0_RAT	34.598
tr|A0A140UHX6|A0A140UHX6_RAT	268.02
tr|A0A1W2Q616|A0A1W2Q616_RAT	248.4
tr|B0K014|B0K014_RAT	23.394000000000002
tr|B1H227|B1H227_RAT	45.111000000000004
tr|D4ADF5|D4ADF5_RAT	14.204
tr|B1H2A2|B1H2A2_RAT	55.626999999999995
tr|B1H2A6|B1H2A6_RAT	74.374
tr|B1WBZ7|B1WBZ7_RAT	41.47
tr|B1WC02|B1WC02_RAT	66.64
tr|B1WC06|B1WC06_RAT	62.153999999999996
tr|B1WC16|B1WC16_RAT	106.06
tr|B1WC25|B1WC25_RAT	32.578
tr|B1WC33|B1WC33_RAT	37.927
tr|B1WC49|B1WC49_RAT	56.784
tr|D4A559|D4A559_RAT	35.69
tr|B2GV41|B2GV41_RAT	65.244
tr|B2GV94|B2GV94_RAT	51.528
tr|B2RYD7|B2RYD7_RAT	93.435
tr|D4A701|D4A701_RAT	49.532
tr|B2RYP3|B2RYP3_RAT	93.573
tr|B2RZ73|B2RZ73_RAT	41.568999999999996
tr|B2RZ79|B2RZ79_RAT	17.967
tr|B2RZD1|B2RZD1_RAT	9.9884
tr|B3VQM3|B3VQM3_RAT	34.902
tr|B4F786|B4F786_RAT	37.54
tr|B5DEG7|B5DEG7_RAT	87.39
tr|B5DEJ5|B5DEJ5_RAT	63.659
tr|B5DEN5|B5DEN5_RAT	24.675
tr|B5DF05|B5DF05_RAT	67.815
tr|D3ZWU1|D3ZWU1_RAT	79.65899999999999
tr|B5DFB1|B5DFB1_RAT	42.672
tr|B5DFI2|B5DFI2_RAT	27.788
tr|B5DFI3|B5DFI3_RAT	18.733
tr|B5DFK6|B5DFK6_RAT	135.67
tr|B5DFL0|B5DFL0_RAT	53.361999999999995
tr|F1LT30|F1LT30_RAT	36.158
tr|D3Z981|D3Z981_RAT	213.19
tr|D3Z9C0|D3Z9C0_RAT	98.40899999999999
tr|D3Z9D0|D3Z9D0_RAT	201.94
tr|D3Z9R2|D3Z9R2_RAT	43.738
tr|D3Z9Z0|D3Z9Z0_RAT	187.12
tr|D3ZA31|D3ZA31_RAT	73.271
tr|D3ZT58|D3ZT58_RAT	150.56
tr|D3ZAG3|D3ZAG3_RAT	73.59899999999999
tr|D4A4B4|D4A4B4_RAT	113.27
tr|D3ZAY2|D3ZAY2_RAT	77.756
tr|D3ZAY8|D3ZAY8_RAT	82.609
tr|D3ZB78|D3ZB78_RAT	41.215
tr|D3ZBC7|D3ZBC7_RAT	40.304
tr|D3ZBT9|D3ZBT9_RAT	97.51299999999999
tr|D3ZBU7|D3ZBU7_RAT	123.21
tr|D3ZBZ6|D3ZBZ6_RAT	147.93
tr|D3ZC55|D3ZC55_RAT	74.829
tr|D3ZC56|D3ZC56_RAT	847.2
tr|D3ZC82|D3ZC82_RAT	75.66
tr|D3ZC89|D3ZC89_RAT	54.45399999999999
tr|D3ZKH2|D3ZKH2_RAT	165.28
tr|D3ZEI4|D3ZEI4_RAT	46.528
tr|D3ZEI6|D3ZEI6_RAT	65.316
tr|D3ZES7|D3ZES7_RAT	212.61
tr|D3ZF21|D3ZF21_RAT	81.333
tr|D3ZF26|D3ZF26_RAT	180.01
tr|D3ZF45|D3ZF45_RAT	81.084
tr|D3ZF86|D3ZF86_RAT	213.04
tr|D4A404|D4A404_RAT	58.565
tr|M0R3U3|M0R3U3_RAT	58.43600000000001
tr|D3ZGN2|D3ZGN2_RAT	65.60600000000001
tr|D3ZGN7|D3ZGN7_RAT	223.92
tr|D3ZGZ9|D3ZGZ9_RAT	105.69
tr|D3ZH14|D3ZH14_RAT	71.68
tr|D3ZH78|D3ZH78_RAT	47.098
tr|D3ZHK4|D3ZHK4_RAT	182.23
tr|D3ZII1|D3ZII1_RAT	54.747
tr|D3ZJ01|D3ZJ01_RAT	134.65
tr|D3ZJK8|D3ZJK8_RAT	12.117
tr|D3ZJR1|D3ZJR1_RAT	99.486
tr|D3ZK36|D3ZK36_RAT	90.198
tr|D3ZKC9|D3ZKC9_RAT	201.53
tr|D3ZKQ4|D3ZKQ4_RAT	80.253
tr|D3ZKX8|D3ZKX8_RAT	73.069
tr|D3ZL11|D3ZL11_RAT	88.476
tr|D3ZL45|D3ZL45_RAT	34.773
tr|D3ZLS5|D3ZLS5_RAT	289.03
tr|D3ZMS5|D3ZMS5_RAT	191.85
tr|D3ZMX6|D3ZMX6_RAT	56.525
tr|D3ZN39|D3ZN39_RAT	122.55
tr|D3ZNK1|D3ZNK1_RAT	34.729
tr|D3ZNS1|D3ZNS1_RAT	151.43
tr|D3ZP45|D3ZP45_RAT	79.811
tr|D3ZPH6|D3ZPH6_RAT	51.102
tr|D3ZPJ0|D3ZPJ0_RAT	58.354
tr|D3ZPN3|D3ZPN3_RAT	28.055
tr|D3ZQ02|D3ZQ02_RAT	49.872
tr|D3ZQ51|D3ZQ51_RAT	74.792
tr|D3ZQ55|D3ZQ55_RAT	72.025
tr|D3ZQN8|D3ZQN8_RAT	74.013
tr|D3ZRF9|D3ZRF9_RAT	65.479
tr|D3ZSV9|D3ZSV9_RAT	131.14
tr|D3ZSY8|D3ZSY8_RAT	86.648
tr|D3ZSZ4|D3ZSZ4_RAT	46.479
tr|D3ZSZ6|D3ZSZ6_RAT	134.31
tr|D3ZT16|D3ZT16_RAT	20.413
tr|D3ZTF0|D3ZTF0_RAT	107.09
tr|D3ZTG3|D3ZTG3_RAT	84.82
tr|M0RD03|M0RD03_RAT	59.49100000000001
tr|D3ZU54|D3ZU54_RAT	21.825
tr|D3ZU84|D3ZU84_RAT	122.02
tr|D3ZUJ7|D3ZUJ7_RAT	68.107
tr|D3ZUV9|D3ZUV9_RAT	81.88
tr|D3ZUW0|D3ZUW0_RAT	43.121
tr|D3ZVM5|D3ZVM5_RAT	76.194
tr|D3ZVQ0|D3ZVQ0_RAT	95.77799999999999
tr|D3ZWA1|D3ZWA1_RAT	65.696
tr|D3ZWH2|D3ZWH2_RAT	81.854
tr|D3ZWL6|D3ZWL6_RAT	66.817
tr|D3ZWQ0|D3ZWQ0_RAT	101.43
tr|D3ZWV8|D3ZWV8_RAT	176.95
tr|D3ZWX4|D3ZWX4_RAT	77.502
tr|D3ZXL9|D3ZXL9_RAT	29.962
tr|D3ZXP3|D3ZXP3_RAT	15.114
tr|D3ZYR4|D3ZYR4_RAT	95.583
tr|D3ZYS1|D3ZYS1_RAT	39.834
tr|D3ZYS7|D3ZYS7_RAT	51.786
tr|D3ZZ99|D3ZZ99_RAT	74.785
tr|D3ZZM9|D3ZZM9_RAT	28.373
tr|D3ZZZ9|D3ZZZ9_RAT	104.07
tr|D4A022|D4A022_RAT	165.16
tr|D4A0A1|D4A0A1_RAT	103.02
tr|D4A0C3|D4A0C3_RAT	86.195
tr|D4A193|D4A193_RAT	22.24
tr|D4A1G8|D4A1G8_RAT	171.69
tr|D4A1J3|D4A1J3_RAT	78.585
tr|D4A1Q9|D4A1Q9_RAT	73.89699999999999
tr|D4A2B1|D4A2B1_RAT	36.857
tr|D4A3C2|D4A3C2_RAT	46.275
tr|D4A3D9|D4A3D9_RAT	55.20399999999999
tr|D4A3E3|D4A3E3_RAT	217.58
tr|D4A3H5|D4A3H5_RAT	96.988
tr|D4A3S8|D4A3S8_RAT	88.09
tr|D4A3V4|D4A3V4_RAT	77.723
tr|D4A3X6|D4A3X6_RAT	130.93
tr|D4A4K4|D4A4K4_RAT	418.62
tr|D4A4T0|D4A4T0_RAT	34.885999999999996
tr|D4A4W6|D4A4W6_RAT	12.575999999999999
tr|D4A510|D4A510_RAT	124.74
tr|D4A5D4|D4A5D4_RAT	180.29
tr|F1M031|F1M031_RAT	195.97
tr|D4A5J1|D4A5J1_RAT	67.848
tr|D4A5L7|D4A5L7_RAT	44.626999999999995
tr|D4A626|D4A626_RAT	113.86
tr|D4A644|D4A644_RAT	90.41799999999999
tr|D4A6C5|D4A6C5_RAT	50.622
tr|D4A6H8|D4A6H8_RAT	52.788999999999994
tr|D4A720|D4A720_RAT	27.377
tr|D4A853|D4A853_RAT	163.78
tr|D4A8B3|D4A8B3_RAT	131.52
tr|D4A8G7|D4A8G7_RAT	61.463
tr|D4A8Q2|D4A8Q2_RAT	191.52
tr|D4A8V2|D4A8V2_RAT	79.438
tr|D4A9D8|D4A9D8_RAT	77.806
tr|D4A9G6|D4A9G6_RAT	140.45
tr|D4A9L2|D4A9L2_RAT	27.744
tr|D4AAF8|D4AAF8_RAT	47.508
tr|D4AAI7|D4AAI7_RAT	18.686
tr|D4AAR7|D4AAR7_RAT	137.48
tr|D4AAS1|D4AAS1_RAT	64.047
tr|D4AAX6|D4AAX6_RAT	125.79
tr|D4AAZ8|D4AAZ8_RAT	61.794
tr|D4ABI7|D4ABI7_RAT	43.104
tr|D4ABT8|D4ABT8_RAT	84.85799999999999
tr|D4AC36|D4AC36_RAT	37.997
tr|D4ACG7|D4ACG7_RAT	61.748000000000005
tr|D4ACM9|D4ACM9_RAT	51.968
tr|D4ACS3|D4ACS3_RAT	55.761
tr|D4ADD3|D4ADD3_RAT	176.51
tr|D4ADD8|D4ADD8_RAT	20.666
tr|D4ADX8|D4ADX8_RAT	136.63
tr|D4AE00|D4AE00_RAT	119.14
tr|D4AE85|D4AE85_RAT	42.152
tr|D4AED2|D4AED2_RAT	11.622
tr|D4AEK9|D4AEK9_RAT	52.973
tr|E9PSN4|E9PSN4_RAT	203.52
tr|E9PST5|E9PST5_RAT	151.04
tr|E9PSW8|E9PSW8_RAT	103.31
tr|E9PT53|E9PT53_RAT	100.56
tr|Q6AZ64|Q6AZ64_RAT	69.486
tr|E9PU02|E9PU02_RAT	128.31
tr|F1LM37|F1LM37_RAT	54.591
tr|F1LM55|F1LM55_RAT	102.79
tr|F1LMS1|F1LMS1_RAT	259.4
tr|F1LNP8|F1LNP8_RAT	57.156000000000006
tr|F1LNT3|F1LNT3_RAT	124.12
tr|F1LQ27|F1LQ27_RAT	37.168
tr|F1LQC5|F1LQC5_RAT	114.88
tr|F1LR18|F1LR18_RAT	125.53
tr|F1LRL9|F1LRL9_RAT	269.64
tr|F1LRZ7|F1LRZ7_RAT	114.41
tr|F1LSD6|F1LSD6_RAT	90.387
tr|F1LSM0|F1LSM0_RAT	294.03
tr|F1LT49|F1LT49_RAT	63.53
tr|F1LTT7|F1LTT7_RAT	165.11
tr|F1LTW9|F1LTW9_RAT	92.439
tr|F1LU97|F1LU97_RAT	117.87
tr|F1LV89|F1LV89_RAT	83.227
tr|F1LVX2|F1LVX2_RAT	136.19
tr|F1LWN1|F1LWN1_RAT	108.97
tr|F1LXC7|F1LXC7_RAT	144.82
tr|F1LYA6|F1LYA6_RAT	59.299
tr|F1LZX5|F1LZX5_RAT	452.5
tr|F1M062|F1M062_RAT	106.94
tr|F1M110|F1M110_RAT	60.471000000000004
tr|F1M2D4|F1M2D4_RAT	159.23
tr|F1M2K6|F1M2K6_RAT	131.46
tr|F1M324|F1M324_RAT	113.67
tr|F1M362|F1M362_RAT	18.32
tr|F1M392|F1M392_RAT	121.5
tr|F1M3W5|F1M3W5_RAT	341.29
tr|F1M403|F1M403_RAT	125.27
tr|F1M4A4|F1M4A4_RAT	192.93
tr|F1M4I1|F1M4I1_RAT	61.119
tr|F1M4M5|F1M4M5_RAT	166.14
tr|F1M4U0|F1M4U0_RAT	41.135
tr|F1M4W7|F1M4W7_RAT	72.166
tr|F1M542|F1M542_RAT	81.935
tr|F1M5M9|F1M5M9_RAT	124.45
tr|F1M6E5|F1M6E5_RAT	147.6
tr|F1M787|F1M787_RAT	133.52
tr|F1M7V4|F1M7V4_RAT	427.48
tr|F1M820|F1M820_RAT	143.37
tr|F1M842|F1M842_RAT	212.86
tr|F1M853|F1M853_RAT	157.5
tr|F1M8B7|F1M8B7_RAT	23.934
tr|F1M8L9|F1M8L9_RAT	139.61
tr|F1M8V2|F1M8V2_RAT	133.3
tr|F1M9C3|F1M9C3_RAT	79.652
tr|F1M9G6|F1M9G6_RAT	114.8
tr|F1M9N9|F1M9N9_RAT	427.26
tr|F1M9V7|F1M9V7_RAT	103.34
tr|F1M9W9|F1M9W9_RAT	160.35
tr|F1MA89|F1MA89_RAT	39.367
tr|Q66H32|Q66H32_RAT	46.406000000000006
tr|F1MAF8|F1MAF8_RAT	220.34
tr|F1MAK3|F1MAK3_RAT	231.19
tr|F1MAL5|F1MAL5_RAT	137.24
tr|F1MAS1|F1MAS1_RAT	45.729
tr|F2Z3T9|F2Z3T9_RAT	53.12
tr|F7EYF1|F7EYF1_RAT	86.616
tr|F7F2F3|F7F2F3_RAT	114.31
tr|G3V631|G3V631_RAT	58.138999999999996
tr|G3V6C3|G3V6C3_RAT	22.423000000000002
tr|G3V6I1|G3V6I1_RAT	115.84
tr|G3V824|G3V824_RAT	273.59
tr|G3V849|G3V849_RAT	110.25
tr|G3V874|G3V874_RAT	107.09
tr|G3V881|G3V881_RAT	69.831
tr|G3V8A5|G3V8A5_RAT	91.726
tr|G3V8E2|G3V8E2_RAT	101.58
tr|G3V8G4|G3V8G4_RAT	96.0
tr|G3V8J5|G3V8J5_RAT	109.53
tr|G3V912|G3V912_RAT	37.54
tr|G3V9M1|G3V9M1_RAT	95.495
tr|G3V9U0|G3V9U0_RAT	78.887
tr|M0R3R6|M0R3R6_RAT	61.395
tr|M0R4J7|M0R4J7_RAT	63.358000000000004
tr|M0R5H1|M0R5H1_RAT	214.66
tr|M0R5Q3|M0R5Q3_RAT	52.418
tr|M0R5U4|M0R5U4_RAT	151.0
tr|M0R697|M0R697_RAT	58.00899999999999
tr|M0R7R2|M0R7R2_RAT	29.264
tr|M0R9T2|M0R9T2_RAT	140.13
tr|M0RAP5|M0RAP5_RAT	211.4
tr|M0RAT6|M0RAT6_RAT	35.58
tr|M0RBL8|M0RBL8_RAT	22.336
tr|M0RBY8|M0RBY8_RAT	65.583
tr|M0RCN5|M0RCN5_RAT	76.215
tr|M0RD40|M0RD40_RAT	145.99
tr|M0RDK4|M0RDK4_RAT	101.2
tr|O70188|O70188_RAT	48.742
tr|O88321|O88321_RAT	41.073
tr|Q0ZFS8|Q0ZFS8_RAT	19.329
tr|Q1RP74|Q1RP74_RAT	27.247
tr|Q3KRF2|Q3KRF2_RAT	141.69
tr|Q3ZB99|Q3ZB99_RAT	131.36
tr|Q712J3|Q712J3_RAT	93.42200000000001
tr|Q4KLK7|Q4KLK7_RAT	65.399
tr|Q4KM38|Q4KM38_RAT	19.971
tr|Q52KJ9|Q52KJ9_RAT	31.434
tr|Q569C9|Q569C9_RAT	33.751999999999995
tr|Q56R18|Q56R18_RAT	57.772
tr|Q5BJP4|Q5BJP4_RAT	58.683
tr|Q5BJT9|Q5BJT9_RAT	46.961000000000006
tr|Q5RJK5|Q5RJK5_RAT	20.811
tr|Q5RKG9|Q5RKG9_RAT	69.063
tr|Q5XIN4|Q5XIN4_RAT	63.403999999999996
tr|Q68HB8|Q68HB8_RAT	116.16
tr|Q6AY21|Q6AY21_RAT	50.77
tr|Q6AY81|Q6AY81_RAT	35.516
tr|Q76GL9|Q76GL9_RAT	55.9
tr|Q7TP42|Q7TP42_RAT	67.93
tr|Q99ND8|Q99ND8_RAT	51.00899999999999
tr|Q9JJ76|Q9JJ76_RAT	47.291000000000004
tr|Q9ET45|Q9ET45_RAT	20.978
tr|Q9JKB7|Q9JKB7_RAT	50.9
